IDATprefix,Sample.ID
12195_03@0067867044,4281452080_R02C01
12195_01@0067867068,4281452025_R02C02
12199_02@0067867103,4281452110_R01C01
12199_03@0067867094,4281452110_R02C01
12199_01@0067867021,4281452550_R02C02
12200_02@0067867070,4281452110_R02C02
12200_03@0067867055,4281452082_R01C01
12200_01@0067867079,4281452110_R01C02
12201_02@0067867022,4432265334_R01C02
12201_03@0067867102,4432265211_R01C01
12201_01@0067867031,4432273591_R01C02
12202_02@0067867078,4281452806_R01C02
12202_03@0067867071,4281452806_R02C02
12202_01@0067867095,4281452806_R02C01
12203_02@0067867047,4281452325_R02C01
12203_03@0067867030,4281452325_R01C02
12203_01@0067867054,4281452325_R01C01
12205_02@0067867072,4281452805_R02C02
12205_03@0067867053,4281452886_R01C01
12205_01@0067867077,4281452805_R01C02
12206_02@0067867029,4281452886_R01C02
12206_03@0067867024,4281452886_R02C02
12206_01@0067867048,4281452886_R02C01
12207_02@0067867097,4281452764_R02C01
12207_03@0067867076,4281452764_R01C02
12207_01@0067867100,4281452764_R01C01
12208_02@0067867052,4281452877_R01C01
12208_03@0067867049,4281452877_R02C01
12208_01@0067867073,4281452764_R02C02
12209_02@0067867099,4281452843_R01C01
12209_03@0067867098,4281452843_R02C01
12209_01@0067867025,4281452877_R02C02
12210_02@0067866477,4281452843_R02C02
12210_03@0067867051,4281452844_R01C01
12210_01@0067867075,4281452843_R01C02
12211_02@0067866894,4281452163_R01C02
12211_03@0067866871,4281452163_R02C02
12211_01@0067866895,4281452163_R02C01
12212_02@0067866847,4281452224_R02C01
12212_03@0067866846,4281452224_R01C02
12212_01@0067866870,4281452224_R01C01
12213_02@0067866917,4432265840_R02C02
12213_03@0067866896,4432265211_R02C02
12213_01@0067866823,4432265562_R02C02
12214_02@0067866872,4281452311_R02C02
12214_03@0067866869,4281452439_R01C01
12214_01@0067866893,4281452311_R01C02
12215_02@0067866845,4281452439_R01C02
12215_03@0067866824,4281452439_R02C02
12215_01@0067866848,4306955086_R02C01
12216_02@0067866897,4281452150_R02C01
12216_03@0067866892,4281452150_R01C02
12216_01@0067866916,4281452150_R01C01
12217_02@0067866868,4281452199_R01C01
12217_03@0067866849,4306955086_R01C02
12217_01@0067866873,4281452150_R02C02
12219_02@0067866874,4281452890_R02C02
12219_03@0067866867,4281452186_R01C01
12219_01@0067866891,4281452890_R01C02
12220_02@0067866843,4281452186_R01C02
12220_03@0067866826,4281452186_R02C02
12220_01@0067866850,4306955086_R02C02
12221_02@0067866899,4281452279_R02C01
12221_03@0067866890,4281452279_R01C02
12221_01@0067866914,4281452279_R01C01
12223_02@0067866827,4281452376_R02C02
12223_03@0067866913,4281452415_R01C01
12223_01@0067866842,4281452376_R01C02
12224_02@0067866889,4281452415_R01C02
12224_03@0067866876,4281452415_R02C02
12224_01@0067866900,4281452415_R02C01
12225_02@0067866852,4281452225_R02C01
12225_03@0067866841,4281452225_R01C02
12225_01@0067866865,4281452225_R01C01
12226_02@0067866912,4281452185_R01C01
12226_03@0067866901,4281452185_R02C01
12226_01@0067866828,4281452225_R02C02
12227_02@0067866864,4281452430_R01C01
12227_03@0067866853,4281452430_R02C01
12227_01@0067866877,4281452185_R02C02
12228_02@0067866829,4281452430_R02C02
12228_03@0067866911,4281452891_R01C01
12228_01@0067866840,4281452430_R01C02
12229_02@0067866887,4432273295_R01C02
12229_03@0067866878,4432265391_R01C02
12229_01@0067866902,4432273613_R01C02
12230_02@0067866854,4281452294_R02C01
12230_03@0067866839,4281452294_R01C02
12230_01@0067866863,4281452294_R01C01
12231_02@0067866910,4281452548_R01C01
12231_03@0067866903,4281452548_R02C01
12231_01@0067866830,4281452294_R02C02
12232_02@0067866879,4281452548_R02C02
12232_03@0067866472,4281452320_R01C01
12232_01@0067866886,4281452548_R01C02
12233_02@0067866838,4281452320_R01C02
12233_03@0067866831,4281452320_R02C02
12233_01@0067866855,4281452320_R02C01
12234_02@0067866904,4306955432_R01C01
12234_03@0067866885,4281452092_R01C02
12234_01@0067866909,4281452092_R01C01
12235_02@0067866856,4281452402_R02C01
12235_03@0067866837,4281452402_R01C02
12235_01@0067866861,4281452402_R01C01
12236_02@0067866908,4281452295_R01C01
12236_03@0067866905,4281452295_R02C01
12236_01@0067866832,4281452402_R02C02
12237_02@0067866881,4281452295_R02C02
12237_03@0067866860,4281452321_R01C01
12237_01@0067866884,4281452295_R01C02
12238_02@0067866836,4281452321_R01C02
12238_03@0067866833,4281452321_R02C02
12238_01@0067866857,4281452321_R02C01
12239_02@0067866906,4281452403_R02C01
12239_03@0067866883,4281452403_R01C02
12239_01@0067866907,4281452403_R01C01
12240_02@0067866859,4281452280_R01C01
12240_03@0067866858,4281452280_R02C01
12240_01@0067866882,4281452403_R02C02
12241_02@0067866459,4281840061_R02C01
12241_03@0067866702,4281840061_R01C02
12241_01@0067866464,4281840061_R01C01
12242_02@0067866678,4281840062_R01C01
12242_03@0067866655,4281840062_R02C01
12242_01@0067866679,4281840061_R02C02
12244_02@0067866680,4281840032_R02C02
12244_03@0067866677,4281840070_R01C01
12244_01@0067866704,4281840032_R02C01
12245_02@0067866653,4281840070_R01C02
12245_03@0067866632,4281840070_R02C02
12245_01@0067866656,4281840070_R02C01
12246_02@0067866705,4281840038_R02C01
12246_03@0067866700,4281840038_R01C02
12246_01@0067866724,4281840038_R01C01
12247_02@0067866676,4281840037_R01C01
12247_03@0067866657,4281840037_R02C01
12247_01@0067866681,4281840038_R02C02
12249_02@0067866699,4281840007_R01C02
12249_03@0067866682,4281840007_R02C02
12249_01@0067866706,4281840007_R02C01
12250_02@0067866658,4281840033_R02C01
12250_03@0067866651,4281840033_R01C02
12250_01@0067866675,4281840033_R01C01
12251_02@0067866722,4281452056_R01C01
12251_03@0067866707,4281452056_R02C01
12251_01@0067866634,4281840033_R02C02
12253_02@0067866635,4281452436_R02C02
12253_03@0067866721,4281452293_R01C01
12253_01@0067866650,4281452436_R01C02
12254_02@0067866697,4281452293_R01C02
12254_03@0067866684,4281452293_R02C02
12254_01@0067866708,4281452293_R02C01
12255_02@0067866660,4281452494_R02C01
12255_03@0067866649,4281452494_R01C02
12255_01@0067866673,4281452494_R01C01
12256_02@0067866720,4281452317_R01C01
12256_03@0067866709,4281452317_R02C01
12256_01@0067866636,4281452494_R02C02
12257_02@0067866685,4281452317_R02C02
12257_03@0067866672,4281452422_R01C01
12257_01@0067866696,4281452317_R01C02
12258_02@0067866648,4432273045_R01C01
12258_03@0067866637,4432265391_R02C02
12258_01@0067866661,4432273290_R01C02
12259_02@0067866710,4281452058_R02C01
12259_03@0067866695,4281452058_R01C02
12259_01@0067866719,4281452058_R01C01
12260_02@0067866662,4432265730_R02C02
12260_03@0067866647,4432265077_R02C02
12260_01@0067866686,4432265785_R02C02
12261_02@0067866718,4281452520_R01C01
12261_03@0067866711,4281452520_R02C01
12261_01@0067866638,4281452527_R02C02
12262_02@0067866687,4281452520_R02C02
12262_03@0067866670,4281452101_R01C01
12262_01@0067866694,4281452520_R01C02
12263_02@0067866646,4281452101_R01C02
12263_03@0067866639,4281452101_R02C02
12263_01@0067866663,4281452101_R02C01
12264_02@0067866712,4281452393_R02C01
12264_03@0067866693,4281452393_R01C02
12264_01@0067866717,4281452393_R01C01
12265_02@0067866669,4281452469_R01C01
12265_03@0067866664,4281452469_R02C01
12265_01@0067866688,4281452393_R02C02
12266_02@0067866640,4281452469_R02C02
12266_03@0067866716,4281452115_R01C01
12266_01@0067866645,4281452469_R01C02
12267_02@0067866692,4281452115_R01C02
12267_03@0067866689,4281452115_R02C02
12267_01@0067866713,4281452115_R02C01
12268_02@0067866644,4281452254_R01C02
12268_03@0067866641,4281452254_R02C02
12268_01@0067866668,4281452254_R01C01
12269_02@0067866714,4281452099_R02C01
